Name,Opportunity ID,Rank,SizeID,Opportunity Size
Opportunity #279,279,484,3,Large
Opportunity #428,428,483,3,Large
Opportunity #289,289,482,3,Large
Opportunity #108,108,481,3,Large
Opportunity #467,467,480,3,Large
Opportunity #410,410,479,3,Large
Opportunity #120,120,478,3,Large
Opportunity #156,156,477,3,Large
Opportunity #233,233,476,3,Large
Opportunity #95,95,475,3,Large
Opportunity #249,249,474,3,Large
Opportunity #444,444,473,3,Large
Opportunity #97,97,472,3,Large
Opportunity #281,281,471,3,Large
Opportunity #454,454,470,3,Large
Opportunity #50,50,469,3,Large
Opportunity #247,247,468,3,Large
Opportunity #115,115,467,3,Large
Opportunity #282,282,466,3,Large
Opportunity #251,251,465,3,Large
Opportunity #298,298,464,3,Large
Opportunity #52,52,463,3,Large
Opportunity #442,442,462,3,Large
Opportunity #234,234,461,3,Large
Opportunity #26,26,460,3,Large
Opportunity #221,221,459,3,Large
Opportunity #260,260,458,3,Large
Opportunity #236,236,457,3,Large
Opportunity #217,217,456,3,Large
Opportunity #321,321,455,3,Large
Opportunity #438,438,454,3,Large
Opportunity #131,131,453,3,Large
Opportunity #44,44,452,3,Large
Opportunity #224,224,451,3,Large
Opportunity #13,13,450,3,Large
Opportunity #283,283,449,3,Large
Opportunity #135,135,448,3,Large
Opportunity #231,231,447,3,Large
Opportunity #128,128,446,3,Large
Opportunity #406,406,445,3,Large
Opportunity #167,167,444,3,Large
Opportunity #466,466,443,3,Large
Opportunity #225,225,442,3,Large
Opportunity #149,149,441,3,Large
Opportunity #284,284,440,3,Large
Opportunity #109,109,439,3,Large
Opportunity #196,196,438,3,Large
Opportunity #24,24,437,3,Large
Opportunity #94,94,436,3,Large
Opportunity #334,334,435,3,Large
Opportunity #160,160,434,3,Large
Opportunity #71,71,433,3,Large
Opportunity #446,446,432,3,Large
Opportunity #383,383,431,3,Large
Opportunity #296,296,430,3,Large
Opportunity #262,262,429,3,Large
Opportunity #200,200,428,3,Large
Opportunity #460,460,427,3,Large
Opportunity #223,223,426,3,Large
Opportunity #46,46,425,3,Large
Opportunity #447,447,424,3,Large
Opportunity #61,61,423,3,Large
Opportunity #405,405,422,3,Large
Opportunity #306,306,421,3,Large
Opportunity #204,204,420,3,Large
Opportunity #226,226,419,3,Large
Opportunity #48,48,418,3,Large
Opportunity #359,359,417,3,Large
Opportunity #456,456,416,3,Large
Opportunity #401,401,415,3,Large
Opportunity #463,463,414,3,Large
Opportunity #213,213,413,3,Large
Opportunity #469,469,412,3,Large
Opportunity #361,361,411,3,Large
Opportunity #237,237,410,3,Large
Opportunity #111,111,409,3,Large
Opportunity #312,312,408,3,Large
Opportunity #259,259,407,3,Large
Opportunity #322,322,406,3,Large
Opportunity #336,336,405,3,Large
Opportunity #114,114,404,3,Large
Opportunity #157,157,403,3,Large
Opportunity #117,117,402,3,Large
Opportunity #138,138,401,3,Large
Opportunity #472,472,400,3,Large
Opportunity #254,254,399,3,Large
Opportunity #455,455,398,3,Large
Opportunity #88,88,397,3,Large
Opportunity #89,89,396,3,Large
Opportunity #118,118,395,3,Large
Opportunity #434,434,394,3,Large
Opportunity #35,35,393,3,Large
Opportunity #238,238,392,3,Large
Opportunity #267,267,391,3,Large
Opportunity #62,62,390,3,Large
Opportunity #162,162,389,3,Large
Opportunity #216,216,388,3,Large
Opportunity #100,100,387,3,Large
Opportunity #45,45,386,3,Large
Opportunity #222,222,385,3,Large
Opportunity #210,210,384,3,Large
Opportunity #297,297,383,3,Large
Opportunity #411,411,382,3,Large
Opportunity #137,137,381,3,Large
Opportunity #275,275,380,3,Large
Opportunity #235,235,379,3,Large
Opportunity #449,449,378,3,Large
Opportunity #16,16,377,3,Large
Opportunity #198,198,376,3,Large
Opportunity #453,453,375,3,Large
Opportunity #286,286,374,3,Large
Opportunity #470,470,373,3,Large
