DateID,Day,DayOfWeekNo,DayOfWeek,DayOfYear,WeekNo,MonthNo,Month,QtrNo,Quarter,Year,Mon
20060709,9,1,Sunday,190,28,7,July,3,Q3,2006,Jul
20060710,10,2,Monday,191,28,7,July,3,Q3,2006,Jul
20060711,11,3,Tuesday,192,28,7,July,3,Q3,2006,Jul
20060712,12,4,Wednesday,193,28,7,July,3,Q3,2006,Jul
20060713,13,5,Thursday,194,28,7,July,3,Q3,2006,Jul
20060714,14,6,Friday,195,28,7,July,3,Q3,2006,Jul
20060715,15,7,Saturday,196,28,7,July,3,Q3,2006,Jul
20070708,8,1,Sunday,189,28,7,July,3,Q3,2007,Jul
20070709,9,2,Monday,190,28,7,July,3,Q3,2007,Jul
20070710,10,3,Tuesday,191,28,7,July,3,Q3,2007,Jul
20070711,11,4,Wednesday,192,28,7,July,3,Q3,2007,Jul
20070712,12,5,Thursday,193,28,7,July,3,Q3,2007,Jul
20070713,13,6,Friday,194,28,7,July,3,Q3,2007,Jul
20070714,14,7,Saturday,195,28,7,July,3,Q3,2007,Jul
20080706,6,1,Sunday,188,28,7,July,3,Q3,2008,Jul
20080707,7,2,Monday,189,28,7,July,3,Q3,2008,Jul
20080708,8,3,Tuesday,190,28,7,July,3,Q3,2008,Jul
20080709,9,4,Wednesday,191,28,7,July,3,Q3,2008,Jul
20080710,10,5,Thursday,192,28,7,July,3,Q3,2008,Jul
20080711,11,6,Friday,193,28,7,July,3,Q3,2008,Jul
20080712,12,7,Saturday,194,28,7,July,3,Q3,2008,Jul
20090705,5,1,Sunday,186,28,7,July,3,Q3,2009,Jul
20090706,6,2,Monday,187,28,7,July,3,Q3,2009,Jul
20090707,7,3,Tuesday,188,28,7,July,3,Q3,2009,Jul
20090708,8,4,Wednesday,189,28,7,July,3,Q3,2009,Jul
20090709,9,5,Thursday,190,28,7,July,3,Q3,2009,Jul
20090710,10,6,Friday,191,28,7,July,3,Q3,2009,Jul
20090711,11,7,Saturday,192,28,7,July,3,Q3,2009,Jul
20100704,4,1,Sunday,185,28,7,July,3,Q3,2010,Jul
20100705,5,2,Monday,186,28,7,July,3,Q3,2010,Jul
20100706,6,3,Tuesday,187,28,7,July,3,Q3,2010,Jul
20100707,7,4,Wednesday,188,28,7,July,3,Q3,2010,Jul
20100708,8,5,Thursday,189,28,7,July,3,Q3,2010,Jul
20100709,9,6,Friday,190,28,7,July,3,Q3,2010,Jul
20100710,10,7,Saturday,191,28,7,July,3,Q3,2010,Jul
20110703,3,1,Sunday,184,28,7,July,3,Q3,2011,Jul
20110704,4,2,Monday,185,28,7,July,3,Q3,2011,Jul
20110705,5,3,Tuesday,186,28,7,July,3,Q3,2011,Jul
20110706,6,4,Wednesday,187,28,7,July,3,Q3,2011,Jul
20110707,7,5,Thursday,188,28,7,July,3,Q3,2011,Jul
20110708,8,6,Friday,189,28,7,July,3,Q3,2011,Jul
20110709,9,7,Saturday,190,28,7,July,3,Q3,2011,Jul
20120708,8,1,Sunday,190,28,7,July,3,Q3,2012,Jul
20120709,9,2,Monday,191,28,7,July,3,Q3,2012,Jul
20120710,10,3,Tuesday,192,28,7,July,3,Q3,2012,Jul
20120711,11,4,Wednesday,193,28,7,July,3,Q3,2012,Jul
20120712,12,5,Thursday,194,28,7,July,3,Q3,2012,Jul
20120713,13,6,Friday,195,28,7,July,3,Q3,2012,Jul
20120714,14,7,Saturday,196,28,7,July,3,Q3,2012,Jul
20130707,7,1,Sunday,188,28,7,July,3,Q3,2013,Jul
20130708,8,2,Monday,189,28,7,July,3,Q3,2013,Jul
20130709,9,3,Tuesday,190,28,7,July,3,Q3,2013,Jul
20130710,10,4,Wednesday,191,28,7,July,3,Q3,2013,Jul
20130711,11,5,Thursday,192,28,7,July,3,Q3,2013,Jul
20130712,12,6,Friday,193,28,7,July,3,Q3,2013,Jul
20130713,13,7,Saturday,194,28,7,July,3,Q3,2013,Jul
20140706,6,1,Sunday,187,28,7,July,3,Q3,2014,Jul
20140707,7,2,Monday,188,28,7,July,3,Q3,2014,Jul
20140708,8,3,Tuesday,189,28,7,July,3,Q3,2014,Jul
20140709,9,4,Wednesday,190,28,7,July,3,Q3,2014,Jul
20140710,10,5,Thursday,191,28,7,July,3,Q3,2014,Jul
20140711,11,6,Friday,192,28,7,July,3,Q3,2014,Jul
20140712,12,7,Saturday,193,28,7,July,3,Q3,2014,Jul
20150705,5,1,Sunday,186,28,7,July,3,Q3,2015,Jul
20150706,6,2,Monday,187,28,7,July,3,Q3,2015,Jul
20150707,7,3,Tuesday,188,28,7,July,3,Q3,2015,Jul
20150708,8,4,Wednesday,189,28,7,July,3,Q3,2015,Jul
20150709,9,5,Thursday,190,28,7,July,3,Q3,2015,Jul
20150710,10,6,Friday,191,28,7,July,3,Q3,2015,Jul
20150711,11,7,Saturday,192,28,7,July,3,Q3,2015,Jul
20160703,3,1,Sunday,185,28,7,July,3,Q3,2016,Jul
20160704,4,2,Monday,186,28,7,July,3,Q3,2016,Jul
20160705,5,3,Tuesday,187,28,7,July,3,Q3,2016,Jul
20160706,6,4,Wednesday,188,28,7,July,3,Q3,2016,Jul
20160707,7,5,Thursday,189,28,7,July,3,Q3,2016,Jul
20160708,8,6,Friday,190,28,7,July,3,Q3,2016,Jul
20160709,9,7,Saturday,191,28,7,July,3,Q3,2016,Jul
20170709,9,1,Sunday,190,28,7,July,3,Q3,2017,Jul
20170710,10,2,Monday,191,28,7,July,3,Q3,2017,Jul
20170711,11,3,Tuesday,192,28,7,July,3,Q3,2017,Jul
20170712,12,4,Wednesday,193,28,7,July,3,Q3,2017,Jul
20170713,13,5,Thursday,194,28,7,July,3,Q3,2017,Jul
20170714,14,6,Friday,195,28,7,July,3,Q3,2017,Jul
20170715,15,7,Saturday,196,28,7,July,3,Q3,2017,Jul
20180708,8,1,Sunday,189,28,7,July,3,Q3,2018,Jul
20180709,9,2,Monday,190,28,7,July,3,Q3,2018,Jul
20180710,10,3,Tuesday,191,28,7,July,3,Q3,2018,Jul
20180711,11,4,Wednesday,192,28,7,July,3,Q3,2018,Jul
20180712,12,5,Thursday,193,28,7,July,3,Q3,2018,Jul
20180713,13,6,Friday,194,28,7,July,3,Q3,2018,Jul
20180714,14,7,Saturday,195,28,7,July,3,Q3,2018,Jul
20190707,7,1,Sunday,188,28,7,July,3,Q3,2019,Jul
20190708,8,2,Monday,189,28,7,July,3,Q3,2019,Jul
20190709,9,3,Tuesday,190,28,7,July,3,Q3,2019,Jul
20190710,10,4,Wednesday,191,28,7,July,3,Q3,2019,Jul
20190711,11,5,Thursday,192,28,7,July,3,Q3,2019,Jul
20190712,12,6,Friday,193,28,7,July,3,Q3,2019,Jul
20190713,13,7,Saturday,194,28,7,July,3,Q3,2019,Jul
20200705,5,1,Sunday,187,28,7,July,3,Q3,2020,Jul
20200706,6,2,Monday,188,28,7,July,3,Q3,2020,Jul
20200707,7,3,Tuesday,189,28,7,July,3,Q3,2020,Jul
20200708,8,4,Wednesday,190,28,7,July,3,Q3,2020,Jul
20200709,9,5,Thursday,191,28,7,July,3,Q3,2020,Jul
