ItemID,Category,Sub Category,Commodity,Item,Commodity Detail
204064,Other,Other,Other,Other-204064,Other
204065,Other,Other,Other,Other-204065,Other
204066,Other,Other,Other,Other-204066,Other
204067,Other,Other,Other,Other-204067,Other
204077,Other,Other,Other,Other-204077,Other
204088,Other,Other,Other,Other-204088,Other
205552,Other,Other,Other,Other-205552,Other
204316,Other,Other,Other,Other-204316,Other
205277,Other,Other,Other,Other-205277,Other
204160,Other,Other,Other,Other-204160,Other
204945,Other,Other,Other,Other-204945,Other
206020,Other,Other,Other,Other-206020,Other
204271,Other,Other,Other,Other-204271,Other
204854,Other,Other,Other,Other-204854,Other
205067,Other,Other,Other,Other-205067,Other
204717,Other,Other,Other,Other-204717,Other
205143,Other,Other,Other,Other-205143,Other
204798,Other,Other,Other,Other-204798,Other
204314,Other,Other,Other,Other-204314,Other
204082,Other,Other,Other,Other-204082,Other
204119,Other,Other,Other,Other-204119,Other
205754,Other,Other,Other,Other-205754,Other
206428,Other,Other,Other,Other-206428,Other
205352,Other,Other,Other,Other-205352,Other
205078,Other,Other,Other,Other-205078,Other
204736,Other,Other,Other,Other-204736,Other
204703,Other,Other,Other,Other-204703,Other
204310,Other,Other,Other,Other-204310,Other
206021,Other,Other,Other,Other-206021,Other
204978,Other,Other,Other,Other-204978,Other
204078,Other,Other,Other,Other-204078,Other
204080,Other,Other,Other,Other-204080,Other
206042,Other,Other,Other,Other-206042,Other
204084,Other,Other,Other,Other-204084,Other
205967,Other,Other,Other,Other-205967,Other
205574,Other,Other,Other,Other-205574,Other
205230,Other,Other,Other,Other-205230,Other
204315,Other,Other,Other,Other-204315,Other
204075,Other,Other,Other,Other-204075,Other
204207,Other,Other,Other,Other-204207,Other
205753,Other,Other,Other,Other-205753,Other
204548,Other,Other,Other,Other-204548,Other
204250,Other,Other,Other,Other-204250,Other
204649,Other,Other,Other,Other-204649,Other
205712,Other,Other,Other,Other-205712,Other
204093,Other,Other,Other,Other-204093,Other
204138,Other,Other,Other,Other-204138,Other
204988,Other,Other,Other,Other-204988,Other
205550,Other,Other,Other,Other-205550,Other
204545,Other,Other,Other,Other-204545,Other
204275,Other,Other,Other,Other-204275,Other
204776,Other,Other,Other,Other-204776,Other
205348,Other,Other,Other,Other-205348,Other
206072,Other,Other,Other,Other-206072,Other
