VendorID,Vendor City,Vendor State,Vendor Postal Code,Vendor Country/Region,Total Spend,Tier,Vendor Name
26,Unknown,CA,91744,US,"$22,027,224 ",1,Trisice Inc.
836,Unknown,MO,63131,US,"$14,224,928 ",1,Domis Incorporated
2617,Unknown,PA,15238,US,"$12,747,839 ",1,Ranjidax Inc.
235,San Ysidro,CA,92173,US,"$12,252,704 ",1,baming LLC
2162,Unknown,NC,28036,US,"$11,010,981 ",1,Konex LLC
73,Unknown,Unknown,,TW,"$10,204,018 ",1,Kinplus Corporation
661,Springfield,IL,62701,US,"$9,835,895 ",1,Suntexon Incorporated
24,Holland,MI,49423,US,"$8,763,913 ",1,Flexphase Corporation
77,Unknown,AZ,85226,US,"$8,604,236 ",1,Newcity Corporation
29,Unknown,CA,94565,US,"$8,535,148 ",1,U-hottrax Inc.
1377,Unknown,TX,75207,US,"$7,874,005 ",1,Triscane Incorporated
2959,Unknown,IL,60680,US,"$7,011,852 ",1,Hatholdings Corporation
129,Unknown,CA,90670,US,"$6,583,573 ",1,Resilplus Incorporated
41,Unknown,CT,Unknown,US,"$6,573,845 ",1,Techtax Corporation
150,,Unknown,,US,"$6,311,481 ",1,Roundity Incorporated
68,Unknown,CA,91722,US,"$6,266,457 ",1,Singleice LLC
72,Riverside,CA,92507,US,"$6,000,477 ",1,Planetdox Corporation
78,Unknown,Unknown,Unknown,MX,"$5,923,772 ",1,Ganzozeity Corporation
109,Unknown,IL,60188,US,"$5,548,102 ",1,Voltexon Incorporated
1,Freeport,PA,16229,US,"$5,355,841 ",1,silicontech LLC
473,Ensenada,Unknown,Unknown,MX,"$5,105,966 ",1,Zonway Incorporated
30,Unknown,CA,92123,US,"$4,838,269 ",1,Istechnology Inc.
278,Pomona,CA,91768,US,"$4,826,172 ",1,Sumkix LLC
272,Unknown,Unknown,820,TW,"$4,799,656 ",1,Indikix Corporation
82,Unknown,Unknown,,HK,"$4,767,709 ",1,Scottraxla Incorporated
14,Commerce city,CA,90040,US,"$4,507,584 ",1,strongplus Incorporated
134,Unknown,AZ,85281,US,"$4,094,117 ",1,Saltjoykix Corporation
43,Redford,MI,48239,US,"$4,036,783 ",1,Ontoelectronics LLC
210,Unknown,IN,46218,US,"$4,010,921 ",1,D-betone LLC
140,Unknown,CA,90670,US,"$3,972,617 ",1,Biostreet Corporation
96,,Unknown,,US,"$3,880,657 ",1,Hatzimtom Inc.
161,Unknown,Unknown,Unknown,TW,"$3,870,381 ",1,Saotexon Inc.
516,Unknown,Unknown,,IN,"$3,691,419 ",1,Saltbase Inc.
1121,Unknown,IL,60016,US,"$3,625,863 ",1,X-lab Inc.
45,Unknown,Unknown,Unknown,TW,"$3,588,816 ",1,acetrans Corporation
126,Unknown,CA,95054,US,"$3,580,324 ",1,Zummaflex LLC
894,Pleasanton,CA,94566,US,"$3,497,626 ",1,good-technology Corporation
75,Unknown,IL,60026,US,"$3,416,833 ",1,dentotam Incorporated
136,Los Angeles,CA,90033,US,"$3,406,965 ",1,Donsanplex Corporation
15,Carson city,NV,89706,US,"$3,073,875 ",1,Lamway Corporation
434,Unknown,OH,43065,US,"$3,054,957 ",1,Mediaquote Incorporated
935,Unknown,IN,46202,US,"$3,041,620 ",1,Santechnology Inc.
2328,Unknown,MN,55014,US,"$3,037,768 ",1,Konbioplus LLC
183,Eastpoint,MI,48021,US,"$2,943,554 ",1,Medhigh LLC
225,Unknown,Unknown,22430,MX,"$2,884,488 ",1,Nam-tech LLC
370,Unknown,Unknown,2140,MX,"$2,745,574 ",1,Geo-house Incorporated
304,Unknown,IL,Unknown,US,"$2,724,470 ",1,ranbase LLC
54,Unknown,Unknown,22320,MX,"$2,671,982 ",1,Tanice Corporation
62,Oxford,MI,48371,US,"$2,421,312 ",1,Vialine LLC
5,Needham,MA,Unknown,US,"$2,383,874 ",1,Haylex LLC
380,,Unknown,,Unknown,"$2,235,042 ",1,Roundfix Inc.
153,Chula Vista,CA,91915,US,"$2,182,574 ",1,Villacare LLC
395,Unknown,Unknown,Unknown,CN,"$2,159,507 ",1,tinfix LLC
21,Unknown,Unknown,Unknown,MX,"$2,128,127 ",1,Greenelectronics Corporation
429,Unknown,Unknown,Unknown,MX,"$2,068,990 ",1,Aphatfix Corporation
284,Hamilton,NJ,Unknown,US,"$1,955,661 ",1,Zenstrip LLC
575,Unknown,IN,46240,US,"$1,942,781 ",1,Random LLC
223,Unknown,OH,44131,US,"$1,919,595 ",1,Conzap Inc.
121,Unknown,IN,46203,US,"$1,904,799 ",1,Technoplex Incorporated
294,Unknown,IL,60611,US,"$1,889,409 ",1,Voyatone Inc.
397,Unknown,Unknown,Unknown,MX,"$1,865,536 ",1,Movetech Corporation
2351,Unknown,TN,37076,US,"$1,854,863 ",1,Domkix Inc.
58,New York city,NY,Unknown,US,"$1,854,026 ",1,Silverdax LLC
529,Unknown,AR,Unknown,US,"$1,822,149 ",1,Tonrantech Corporation
292,Unknown,Unknown,Unknown,MX,"$1,805,084 ",1,Vilacan Incorporated
268,Unknown,IN,46032,US,"$1,793,478 ",1,Zumnamfix LLC
44,Unknown,Unknown,10105,TW,"$1,788,229 ",1,Sanholding LLC
100,New York city,NY,Unknown,US,"$1,777,042 ",1,Sangreen Incorporated
2947,Unknown,Unknown,,HK,"$1,656,426 ",1,Techiit Incorporated
340,Unknown,Unknown,,CN,"$1,633,318 ",1,Sontrax Inc.
67,Reading,PA,19601,US,"$1,564,253 ",1,medlax Inc.
27,Madison Heights,MI,48071,US,"$1,534,886 ",1,Isholdings Inc.
174,Unknown,CA,92154,US,"$1,489,507 ",1,Zenzoomfase Corporation
2920,Unknown,IL,Unknown,US,"$1,488,534 ",1,True-fix Incorporated
433,Unknown,CO,80903,US,"$1,484,292 ",1,Quoit Corporation
371,Unknown,IN,46360,US,"$1,478,339 ",1,Doubledexon Corporation
119,Unknown,CA,91765,US,"$1,453,293 ",1,Zotcore Corporation
61,Granville,MI,49418,US,"$1,426,633 ",1,Linetexon LLC
48,Unknown,IL,60515,US,"$1,398,050 ",1,Sanholdings LLC
