Date,Month,MonthNumber,Period,PeriodNumber,Qtr,QtrNumber,Year,Day,MonthStartDate,MonthEndDate,MonthIncrementNumber
1/1/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,1,1/1/2010 0:00,1/31/2010 0:00,1
1/2/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,2,1/1/2010 0:00,1/31/2010 0:00,1
1/3/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,3,1/1/2010 0:00,1/31/2010 0:00,1
1/4/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,4,1/1/2010 0:00,1/31/2010 0:00,1
1/5/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,5,1/1/2010 0:00,1/31/2010 0:00,1
1/6/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,6,1/1/2010 0:00,1/31/2010 0:00,1
1/7/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,7,1/1/2010 0:00,1/31/2010 0:00,1
1/8/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,8,1/1/2010 0:00,1/31/2010 0:00,1
1/9/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,9,1/1/2010 0:00,1/31/2010 0:00,1
1/10/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,10,1/1/2010 0:00,1/31/2010 0:00,1
1/11/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,11,1/1/2010 0:00,1/31/2010 0:00,1
1/12/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,12,1/1/2010 0:00,1/31/2010 0:00,1
1/13/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,13,1/1/2010 0:00,1/31/2010 0:00,1
1/14/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,14,1/1/2010 0:00,1/31/2010 0:00,1
1/15/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,15,1/1/2010 0:00,1/31/2010 0:00,1
1/16/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,16,1/1/2010 0:00,1/31/2010 0:00,1
1/17/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,17,1/1/2010 0:00,1/31/2010 0:00,1
1/18/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,18,1/1/2010 0:00,1/31/2010 0:00,1
1/19/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,19,1/1/2010 0:00,1/31/2010 0:00,1
1/20/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,20,1/1/2010 0:00,1/31/2010 0:00,1
1/21/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,21,1/1/2010 0:00,1/31/2010 0:00,1
1/22/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,22,1/1/2010 0:00,1/31/2010 0:00,1
1/23/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,23,1/1/2010 0:00,1/31/2010 0:00,1
1/24/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,24,1/1/2010 0:00,1/31/2010 0:00,1
1/25/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,25,1/1/2010 0:00,1/31/2010 0:00,1
1/26/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,26,1/1/2010 0:00,1/31/2010 0:00,1
1/27/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,27,1/1/2010 0:00,1/31/2010 0:00,1
1/28/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,28,1/1/2010 0:00,1/31/2010 0:00,1
1/29/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,29,1/1/2010 0:00,1/31/2010 0:00,1
1/30/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,30,1/1/2010 0:00,1/31/2010 0:00,1
1/31/2010 0:00,Jan,1,10-Jan,201001,1,Q1,2010,31,1/1/2010 0:00,1/31/2010 0:00,1
2/1/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,1,2/1/2010 0:00,2/28/2010 0:00,2
2/2/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,2,2/1/2010 0:00,2/28/2010 0:00,2
2/3/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,3,2/1/2010 0:00,2/28/2010 0:00,2
2/4/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,4,2/1/2010 0:00,2/28/2010 0:00,2
2/5/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,5,2/1/2010 0:00,2/28/2010 0:00,2
2/6/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,6,2/1/2010 0:00,2/28/2010 0:00,2
2/7/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,7,2/1/2010 0:00,2/28/2010 0:00,2
2/8/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,8,2/1/2010 0:00,2/28/2010 0:00,2
2/9/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,9,2/1/2010 0:00,2/28/2010 0:00,2
2/10/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,10,2/1/2010 0:00,2/28/2010 0:00,2
2/11/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,11,2/1/2010 0:00,2/28/2010 0:00,2
2/12/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,12,2/1/2010 0:00,2/28/2010 0:00,2
2/13/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,13,2/1/2010 0:00,2/28/2010 0:00,2
2/14/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,14,2/1/2010 0:00,2/28/2010 0:00,2
2/15/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,15,2/1/2010 0:00,2/28/2010 0:00,2
2/16/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,16,2/1/2010 0:00,2/28/2010 0:00,2
2/17/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,17,2/1/2010 0:00,2/28/2010 0:00,2
2/18/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,18,2/1/2010 0:00,2/28/2010 0:00,2
2/19/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,19,2/1/2010 0:00,2/28/2010 0:00,2
2/20/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,20,2/1/2010 0:00,2/28/2010 0:00,2
2/21/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,21,2/1/2010 0:00,2/28/2010 0:00,2
2/22/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,22,2/1/2010 0:00,2/28/2010 0:00,2
2/23/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,23,2/1/2010 0:00,2/28/2010 0:00,2
2/24/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,24,2/1/2010 0:00,2/28/2010 0:00,2
2/25/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,25,2/1/2010 0:00,2/28/2010 0:00,2
2/26/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,26,2/1/2010 0:00,2/28/2010 0:00,2
2/27/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,27,2/1/2010 0:00,2/28/2010 0:00,2
2/28/2010 0:00,Feb,2,10-Feb,201002,1,Q1,2010,28,2/1/2010 0:00,2/28/2010 0:00,2
3/1/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,1,3/1/2010 0:00,3/31/2010 0:00,3
3/2/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,2,3/1/2010 0:00,3/31/2010 0:00,3
3/3/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,3,3/1/2010 0:00,3/31/2010 0:00,3
3/4/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,4,3/1/2010 0:00,3/31/2010 0:00,3
3/5/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,5,3/1/2010 0:00,3/31/2010 0:00,3
3/6/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,6,3/1/2010 0:00,3/31/2010 0:00,3
3/7/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,7,3/1/2010 0:00,3/31/2010 0:00,3
3/8/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,8,3/1/2010 0:00,3/31/2010 0:00,3
3/9/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,9,3/1/2010 0:00,3/31/2010 0:00,3
3/10/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,10,3/1/2010 0:00,3/31/2010 0:00,3
3/11/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,11,3/1/2010 0:00,3/31/2010 0:00,3
3/12/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,12,3/1/2010 0:00,3/31/2010 0:00,3
3/13/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,13,3/1/2010 0:00,3/31/2010 0:00,3
3/14/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,14,3/1/2010 0:00,3/31/2010 0:00,3
3/15/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,15,3/1/2010 0:00,3/31/2010 0:00,3
3/16/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,16,3/1/2010 0:00,3/31/2010 0:00,3
3/17/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,17,3/1/2010 0:00,3/31/2010 0:00,3
3/18/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,18,3/1/2010 0:00,3/31/2010 0:00,3
3/19/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,19,3/1/2010 0:00,3/31/2010 0:00,3
3/20/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,20,3/1/2010 0:00,3/31/2010 0:00,3
3/21/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,21,3/1/2010 0:00,3/31/2010 0:00,3
3/22/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,22,3/1/2010 0:00,3/31/2010 0:00,3
3/23/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,23,3/1/2010 0:00,3/31/2010 0:00,3
3/24/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,24,3/1/2010 0:00,3/31/2010 0:00,3
3/25/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,25,3/1/2010 0:00,3/31/2010 0:00,3
3/26/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,26,3/1/2010 0:00,3/31/2010 0:00,3
3/27/2010 0:00,Mar,3,10-Mar,201003,1,Q1,2010,27,3/1/2010 0:00,3/31/2010 0:00,3
