Date,EmplID,Gender,Age,EtnicGroup,FP,TermDate,IsNewHire,BU,HireDate,PayTypeID,TermReason,AgeGroupID,TenureDays,TenureMonths,BadHires
12/1/2014 0:00,3232,D,22,1,P,12/7/2014 0:00,0,8,7/18/2014 0:00,H,V,1,136,4,0
12/1/2014 0:00,31508,C,23,1,P,12/7/2014 0:00,0,16,4/10/2013 0:00,H,V,1,600,19,0
12/1/2014 0:00,9720,C,18,1,P,12/7/2014 0:00,0,1,5/9/2014 0:00,H,V,1,206,6,0
12/1/2014 0:00,4764,D,18,1,P,12/7/2014 0:00,0,9,9/10/2014 0:00,H,V,1,82,2,0
12/1/2014 0:00,3628,D,24,1,P,12/7/2014 0:00,0,5,3/14/2013 0:00,H,V,1,627,20,0
12/1/2014 0:00,26484,C,23,1,F,12/7/2014 0:00,0,13,12/6/2011 0:00,H,V,1,1091,36,0
12/1/2014 0:00,13986,D,23,1,P,12/7/2014 0:00,0,22,9/24/2014 0:00,H,U,1,68,2,0
12/1/2014 0:00,14086,C,41,1,P,12/7/2014 0:00,0,22,10/30/2014 0:00,H,U,2,32,1,1
12/1/2014 0:00,1552,D,53,2,P,12/7/2014 0:00,0,3,11/14/2014 0:00,H,V,3,17,0,1
12/1/2014 0:00,23150,C,34,2,P,12/7/2014 0:00,0,21,11/19/2014 0:00,H,V,2,12,0,1
12/1/2014 0:00,12068,D,21,2,P,12/7/2014 0:00,0,11,9/16/2014 0:00,H,U,1,76,2,0
12/1/2014 0:00,31180,D,56,6,P,12/7/2014 0:00,0,13,5/7/2014 0:00,H,V,3,208,6,0
12/1/2014 0:00,32410,C,20,1,P,12/6/2014 0:00,0,5,5/30/2014 0:00,H,V,1,185,6,0
12/1/2014 0:00,4756,C,19,1,P,12/6/2014 0:00,0,9,7/30/2014 0:00,H,V,1,124,4,0
12/1/2014 0:00,136,C,19,1,P,12/6/2014 0:00,0,3,10/9/2014 0:00,H,V,1,53,1,1
12/1/2014 0:00,5694,C,18,1,P,12/6/2014 0:00,0,8,8/27/2014 0:00,H,V,1,96,3,0
12/1/2014 0:00,24484,D,47,1,P,12/6/2014 0:00,0,99,9/30/2014 0:00,H,V,2,62,2,0
12/1/2014 0:00,1012,C,28,1,P,12/6/2014 0:00,0,2,11/22/2014 0:00,H,V,1,9,0,1
12/1/2014 0:00,22414,C,64,1,F,12/6/2014 0:00,0,99,5/26/1970 0:00,H,V,3,16260,541,0
12/1/2014 0:00,24096,D,65,1,F,12/6/2014 0:00,0,15,9/23/2003 0:00,H,V,3,4087,136,0
12/1/2014 0:00,6410,C,43,1,F,12/6/2014 0:00,0,4,1/29/2010 0:00,H,V,2,1767,58,0
12/1/2014 0:00,18694,C,19,1,P,12/6/2014 0:00,0,21,5/7/2014 0:00,H,U,1,208,6,0
12/1/2014 0:00,21694,C,19,1,P,12/6/2014 0:00,0,14,9/12/2014 0:00,H,U,1,80,2,0
12/1/2014 0:00,9862,C,19,1,P,12/6/2014 0:00,0,2,7/23/2014 0:00,H,U,1,131,4,0
12/1/2014 0:00,16872,D,54,1,P,12/6/2014 0:00,0,1,8/29/2007 0:00,H,U,3,2651,88,0
12/1/2014 0:00,9556,C,26,1,P,12/6/2014 0:00,0,2,9/29/2009 0:00,H,U,1,1889,62,0
12/1/2014 0:00,16814,C,36,1,P,12/6/2014 0:00,0,21,8/7/2014 0:00,H,U,2,116,3,0
12/1/2014 0:00,18370,C,48,1,P,12/6/2014 0:00,0,23,7/25/2012 0:00,H,U,2,859,28,0
12/1/2014 0:00,13848,C,44,1,P,12/6/2014 0:00,0,21,11/4/2014 0:00,H,U,2,27,0,1
12/1/2014 0:00,22198,C,33,1,F,12/6/2014 0:00,0,2,7/22/2000 0:00,H,U,2,5245,174,0
12/1/2014 0:00,3348,D,18,2,P,12/6/2014 0:00,0,6,11/12/2014 0:00,H,V,1,19,0,1
12/1/2014 0:00,2212,D,40,2,P,12/6/2014 0:00,0,7,11/6/2014 0:00,H,V,2,25,0,1
12/1/2014 0:00,10756,C,20,2,P,12/6/2014 0:00,0,12,10/16/2013 0:00,H,U,1,411,13,0
12/1/2014 0:00,21110,D,22,2,P,12/6/2014 0:00,0,13,10/23/2014 0:00,H,U,1,39,1,1
12/1/2014 0:00,10748,D,23,2,P,12/6/2014 0:00,0,12,5/13/2014 0:00,H,U,1,202,6,0
12/1/2014 0:00,22090,C,18,3,P,12/6/2014 0:00,0,12,11/7/2012 0:00,H,U,1,754,25,0
12/1/2014 0:00,126,D,19,1,P,12/5/2014 0:00,0,3,10/10/2014 0:00,H,V,1,52,1,1
12/1/2014 0:00,30626,D,22,1,P,12/5/2014 0:00,0,19,9/24/2014 0:00,H,V,1,68,2,0
12/1/2014 0:00,31108,D,49,1,P,12/5/2014 0:00,0,21,10/30/2014 0:00,H,V,2,32,1,1
12/1/2014 0:00,1022,C,64,1,P,12/5/2014 0:00,0,2,4/16/2014 0:00,H,V,3,229,7,0
12/1/2014 0:00,24194,D,61,1,F,12/5/2014 0:00,0,19,8/14/2002 0:00,H,V,3,4492,149,0
12/1/2014 0:00,24080,C,61,1,F,12/5/2014 0:00,0,6,12/1/2000 0:00,H,V,3,5113,170,0
12/1/2014 0:00,8992,C,20,1,P,12/5/2014 0:00,0,3,10/15/2014 0:00,H,U,1,47,1,1
12/1/2014 0:00,10248,C,19,1,P,12/5/2014 0:00,0,1,5/30/2014 0:00,H,U,1,185,6,0
12/1/2014 0:00,17186,D,18,1,P,12/5/2014 0:00,0,99,7/31/2014 0:00,H,U,1,123,4,0
12/1/2014 0:00,22354,C,24,1,P,12/5/2014 0:00,0,97,8/19/2014 0:00,H,U,1,104,3,0
12/1/2014 0:00,17538,C,25,1,P,12/5/2014 0:00,0,99,9/23/2014 0:00,H,U,1,69,2,0
12/1/2014 0:00,19670,D,48,1,P,12/5/2014 0:00,0,18,10/12/2013 0:00,H,U,2,415,13,0
12/1/2014 0:00,17596,D,30,1,F,12/5/2014 0:00,0,99,10/27/2004 0:00,H,U,2,3687,122,0
12/1/2014 0:00,19514,D,25,1,F,12/5/2014 0:00,0,14,4/30/2014 0:00,H,U,1,215,7,0
12/1/2014 0:00,31192,D,20,2,P,12/5/2014 0:00,0,13,10/23/2014 0:00,H,V,1,39,1,1
12/1/2014 0:00,3496,C,61,2,P,12/5/2014 0:00,0,5,3/25/2014 0:00,H,V,3,251,8,0
12/1/2014 0:00,33242,D,31,2,F,12/5/2014 0:00,0,12,7/1/2009 0:00,S,V,2,1979,65,0
12/1/2014 0:00,10888,C,24,2,P,12/5/2014 0:00,0,10,11/21/2013 0:00,H,U,1,375,12,0
12/1/2014 0:00,14800,D,18,2,P,12/5/2014 0:00,0,99,9/9/2014 0:00,H,U,1,83,2,0
12/1/2014 0:00,33832,C,37,2,F,12/5/2014 0:00,0,18,8/26/1999 0:00,S,U,2,5576,185,0
12/1/2014 0:00,13474,D,19,6,P,12/5/2014 0:00,0,22,9/16/2014 0:00,H,U,1,76,2,0
12/1/2014 0:00,13178,C,22,6,P,12/5/2014 0:00,0,16,11/12/2014 0:00,H,U,1,19,0,1
12/1/2014 0:00,28760,C,20,3,P,12/5/2014 0:00,0,3,7/13/2011 0:00,H,V,1,1237,41,0
12/1/2014 0:00,19304,C,24,3,P,12/5/2014 0:00,0,24,7/5/2013 0:00,H,V,1,514,17,0
12/1/2014 0:00,16482,D,19,1,P,12/4/2014 0:00,0,18,9/8/2014 0:00,H,V,1,84,2,0
12/1/2014 0:00,32458,C,21,1,P,12/4/2014 0:00,0,21,2/13/2014 0:00,H,V,1,291,9,0
12/1/2014 0:00,5978,D,22,1,P,12/4/2014 0:00,0,6,8/21/2014 0:00,H,V,1,102,3,0
12/1/2014 0:00,15374,C,18,1,P,12/4/2014 0:00,0,99,10/28/2014 0:00,H,V,1,34,1,1
12/1/2014 0:00,27604,D,27,1,P,12/4/2014 0:00,1,99,12/2/2014 0:00,H,V,1,1,0,1
12/1/2014 0:00,17716,D,53,1,P,12/4/2014 0:00,0,13,6/11/2014 0:00,H,V,3,173,5,0
12/1/2014 0:00,29112,C,33,1,P,12/4/2014 0:00,0,22,10/1/2014 0:00,H,V,2,61,2,0
12/1/2014 0:00,10380,C,19,1,P,12/4/2014 0:00,0,10,9/4/2014 0:00,H,U,1,88,2,0
12/1/2014 0:00,9014,D,18,1,P,12/4/2014 0:00,0,2,11/6/2014 0:00,H,U,1,25,0,1
12/1/2014 0:00,13812,C,19,1,F,12/4/2014 0:00,0,99,9/11/2014 0:00,H,U,1,81,2,0
12/1/2014 0:00,16294,D,30,2,P,12/4/2014 0:00,0,14,10/17/2014 0:00,H,V,2,45,1,1
12/1/2014 0:00,18280,C,21,2,P,12/4/2014 0:00,0,24,9/19/2014 0:00,H,U,1,73,2,0
12/1/2014 0:00,13108,C,22,2,P,12/4/2014 0:00,0,99,9/9/2014 0:00,H,U,1,83,2,0
12/1/2014 0:00,11736,D,22,2,P,12/4/2014 0:00,0,10,10/7/2014 0:00,H,U,1,55,1,1
12/1/2014 0:00,13112,C,18,2,P,12/4/2014 0:00,0,99,9/23/2014 0:00,H,U,1,69,2,0
12/1/2014 0:00,13404,C,18,2,P,12/4/2014 0:00,0,15,11/25/2014 0:00,H,U,1,6,0,1
12/1/2014 0:00,14694,C,25,2,P,12/4/2014 0:00,0,11,10/10/2014 0:00,H,U,1,52,1,1
12/1/2014 0:00,9218,D,19,6,P,12/4/2014 0:00,0,4,11/13/2014 0:00,H,V,1,18,0,1
12/1/2014 0:00,31072,D,20,1,P,12/3/2014 0:00,0,19,8/6/2014 0:00,H,V,1,117,3,0
12/1/2014 0:00,3402,D,20,1,P,12/3/2014 0:00,0,6,7/11/2014 0:00,H,V,1,143,4,0
12/1/2014 0:00,6878,C,19,1,P,12/3/2014 0:00,0,9,8/7/2013 0:00,H,V,1,481,16,0
12/1/2014 0:00,1384,C,19,1,P,12/3/2014 0:00,1,3,12/3/2014 0:00,H,V,1,2,0,1
12/1/2014 0:00,3112,C,24,1,P,12/3/2014 0:00,0,7,9/4/2014 0:00,H,V,1,88,2,0
12/1/2014 0:00,27356,D,48,1,P,12/3/2014 0:00,0,16,8/1/2014 0:00,H,V,2,122,4,0
12/1/2014 0:00,17952,D,42,1,P,12/3/2014 0:00,0,14,11/19/2014 0:00,H,V,2,12,0,1
12/1/2014 0:00,24966,C,29,1,P,12/3/2014 0:00,0,14,11/21/2014 0:00,H,V,1,10,0,1
12/1/2014 0:00,360,C,60,1,P,12/3/2014 0:00,0,2,9/27/2013 0:00,H,V,3,430,14,0
12/1/2014 0:00,30094,C,45,1,P,12/3/2014 0:00,0,13,10/23/2014 0:00,H,V,2,39,1,1
12/1/2014 0:00,25644,C,50,1,P,12/3/2014 0:00,0,24,4/11/2014 0:00,H,V,3,234,7,0
